rank,id,gemini_final,gemini_raw,band,original_final,delta_vs_original,spatial,factual,coverage,legibility,material_error_count,subject
1,MB010,96,96,excellent,90.0,6.0,5,5,5,4,0,"Viking expansion from the eighth through eleventh centuries, showing settlement areas, major raiding and trade routes, and Atlantic exploration"
2,MB002,95,95,excellent,95.0,0.0,5,4,5,5,0,"Ancient Egypt, showing Upper and Lower Egypt, the Nile, major settlements, and surrounding seas and deserts"
3,MB003,95,95,excellent,97,-2.0,5,4,5,5,0,"Classical Greece and the Aegean around the fifth century BCE, showing major regions, city-states, islands, and neighboring lands"
4,MB007,95,95,excellent,59,36.0,5,4,5,5,0,"The Mauryan Empire under Ashoka around 250 BCE, showing its territorial extent, major cities, neighboring regions, and important geographic features"
5,MB028,95,95,excellent,97.5,-2.5,5,4,5,5,0,"The Indian Ocean trading world around 1450, showing the major commercial regions and ports, monsoon-driven sea routes, strategic straits, and connections among East Africa, the Middle East, South Asia, Southeast Asia, and China"
6,MB008,92,92,excellent,59,33.0,4,5,5,5,0,"The Han dynasty around 60 BCE, showing its territory, commanderies or major regions, neighboring powers, the Great Wall, and major cities"
7,MB014,87,87,good,59,28.0,4,4,5,5,0,"Central and southeastern Europe in 1683, showing the Ottoman Empire, its vassal states, the Habsburg lands, neighboring states, and major cities"
8,MB001,84,84,good,74,10.0,4,4,4,5,0,"Eastern Mediterranean and Near East around 1200 BCE, showing the Late Bronze Age powers, Sea Peoples invasions and migrations, and major destroyed cities"
9,MB013,83,83,good,74,9.0,4,4,5,4,0,"The spread of the Black Death across Europe and the Mediterranean from 1346 through 1353, showing chronological progression and principal land and maritime transmission routes"
10,MB023,83,83,good,84,-1.0,4,4,5,4,0,"The Byzantine-Sasanian War around 620 CE at the height of Sasanian expansion, showing effective control, the remaining Byzantine territories, major campaign areas, cities, and frontiers"
11,MB035,83,83,good,96.0,-13.0,4,4,5,4,0,"The Indian Rebellion of 1857-1858, showing British-controlled and princely territories, principal centers of rebellion, major campaign movements, cities, rivers, and regions that remained outside the main uprising"
12,MB037,83,83,good,59,24.0,4,4,5,4,0,"The Russian Civil War around 1919, showing Bolshevik-controlled territory, the principal White fronts and other armed movements, foreign intervention zones, major cities, rail corridors, and campaign directions"
13,MB017,74,82,usable_draft,59,15.0,4,3,5,5,1,"The Thirteen British Colonies around 1775, showing colonial boundaries, principal cities, neighboring British territories, Indigenous territory, Louisiana, and Spanish possessions"
