rank,id,cohort,final_score,raw_score,band,cap,score_source,spatial,factual,coverage,legibility,material_error_count,subject
1,MB005,baseline,100,100,excellent,100,sol-high-adjudication,5,5,5,5,0,"The Roman Empire at its greatest territorial extent around 117 CE, showing provinces, major cities, neighboring peoples, and frontiers"
2,MB038,hard-extension,98.0,98.0,excellent,100,two-judge-mean,5.0,5.0,5.0,4.5,0,"The partition of British India in 1947, showing the new international boundaries, the princely-state problem, principal migration flows, major affected regions and cities, and the geographic separation of Pakistan's two wings"
3,MB006,baseline,97.5,97.5,excellent,100,two-judge-mean,5.0,4.5,5.0,5.0,0,"The major overland and maritime Silk Road routes connecting East Asia, Central Asia, India, the Middle East, East Africa, and Europe"
4,MB028,hard-extension,97.5,97.5,excellent,100,two-judge-mean,5.0,4.5,5.0,5.0,0,"The Indian Ocean trading world around 1450, showing the major commercial regions and ports, monsoon-driven sea routes, strategic straits, and connections among East Africa, the Middle East, South Asia, Southeast Asia, and China"
5,MB039,hard-extension,97.5,97.5,excellent,100,two-judge-mean,5.0,4.5,5.0,5.0,0,"The decolonization of Africa from 1957 to 1975, showing the chronology of independence, remaining colonial rule, major liberation-war regions, and the changing continental pattern"
6,MB003,baseline,97,97,excellent,100,sol-high-adjudication,5,5,4,5,0,"Classical Greece and the Aegean around the fifth century BCE, showing major regions, city-states, islands, and neighboring lands"
7,MB034,hard-extension,96.0,96.0,excellent,100,two-judge-mean,4.5,5.0,5.0,5.0,0,"The Atlantic Revolutions from roughly 1775 to 1825, showing the principal revolutionary and independence movements, their chronology, major centers, imperial settings, and transatlantic connections"
8,MB035,hard-extension,96.0,96.0,excellent,100,two-judge-mean,4.5,5.0,5.0,5.0,0,"The Indian Rebellion of 1857-1858, showing British-controlled and princely territories, principal centers of rebellion, major campaign movements, cities, rivers, and regions that remained outside the main uprising"
9,MB002,baseline,95.0,95.0,excellent,100,two-judge-mean,5.0,4.0,5.0,5.0,0,"Ancient Egypt, showing Upper and Lower Egypt, the Nile, major settlements, and surrounding seas and deserts"
10,MB010,baseline,90.0,90.0,excellent,100,two-judge-mean,4.0,5.0,5.0,4.5,0,"Viking expansion from the eighth through eleventh centuries, showing settlement areas, major raiding and trade routes, and Atlantic exploration"
11,MB023,hard-extension,84,84,good,100,sol-high-adjudication,4,4,4,5,0,"The Byzantine-Sasanian War around 620 CE at the height of Sasanian expansion, showing effective control, the remaining Byzantine territories, major campaign areas, cities, and frontiers"
12,MB001,baseline,74,90,usable_draft,74,sol-high-adjudication,5,3,5,5,1,"Eastern Mediterranean and Near East around 1200 BCE, showing the Late Bronze Age powers, Sea Peoples invasions and migrations, and major destroyed cities"
13,MB012,baseline,74,90,usable_draft,74,sol-high-adjudication,5,3,5,5,1,"The Mongol Empire at its greatest extent around 1279, showing the major khanates, important cities, neighboring states, and the principal continental extent"
14,MB025,hard-extension,74,90,usable_draft,74,sol-high-adjudication,5,3,5,5,1,"East and Central Asia around 750 CE, showing the Tang dynasty, the principal neighboring states and steppe powers, frontier regions, major cities, and long-distance connections"
15,MB021,hard-extension,74,87,usable_draft,74,sol-high-adjudication,5,3,4,5,1,"The Hellenistic world after the Battle of Ipsus around 300 BCE, showing the principal successor kingdoms, contested territories, major cities, and frontiers"
